x,y,z
63.8086,161.1095,1.8000
63.8086,161.1095,1.8000
63.8086,161.1095,0.8000
64.4440,163.2851,0.8000
65.0768,164.7415,0.8000
65.6678,165.8440,0.8000
66.3410,166.9239,0.8000
67.5162,168.5304,0.8000
68.8533,170.0839,0.8000
70.9013,172.1151,0.8000
76.1773,176.2773,0.8000
79.4734,178.4251,0.8000
82.5609,180.2390,0.8000
84.8392,181.4853,0.8000
84.8392,181.4853,0.8000
84.8392,181.4853,1.8000
84.8392,181.4853,1.8000
84.8887,181.4344,1.8000
84.8887,181.4344,0.8000
83.2506,180.3697,0.8000
82.6018,179.9555,0.8000
80.1591,178.4036,0.8000
76.9297,176.2936,0.8000
70.1766,171.0835,0.8000
66.2010,166.4740,0.8000
65.5436,165.3536,0.8000
64.9940,164.2023,0.8000
64.9940,164.2023,0.8000
64.9940,164.2023,1.8000
64.9940,164.2023,1.8000
66.2482,161.6765,1.8000
66.2482,161.6765,0.8000
66.9019,163.6909,0.8000
67.5247,164.8124,0.8000
68.2844,165.9022,0.8000
72.6074,170.5664,0.8000
73.1202,171.0919,0.8000
74.1082,172.1692,0.8000
74.1082,172.1692,0.8000
74.1082,172.1692,1.8000
74.1082,172.1692,1.8000
73.9934,172.0621,1.8000
73.9934,172.0621,0.8000
73.1790,171.1654,0.8000
72.6958,170.6861,0.8000
70.3825,168.4485,0.8000
68.0593,165.8424,0.8000
67.3228,164.7326,0.8000
66.8116,163.6316,0.8000
66.6463,161.7967,0.8000
67.0746,160.8103,0.8000
67.9643,159.8989,0.8000
67.9643,159.8989,0.8000
67.9643,159.8989,1.8000
67.9643,159.8989,1.8000
70.2083,157.9627,1.8000
70.2083,157.9627,0.8000
68.1663,157.9537,0.8000
66.4118,158.7140,0.8000
64.8605,159.4652,0.8000
63.4611,159.8096,0.8000
61.0094,160.2249,0.8000
59.1687,160.8754,0.8000
56.8263,161.9023,0.8000
54.9697,162.5071,0.8000
53.1872,163.0620,0.8000
50.4310,164.2842,0.8000
49.0321,164.7415,0.8000
47.0393,165.1898,0.8000
43.2316,165.9752,0.8000
40.4754,166.8987,0.8000
29.2325,171.4588,0.8000
27.3350,171.8075,0.8000
25.4399,172.2789,0.8000
23.8710,172.9945,0.8000
22.0631,173.7941,0.8000
22.0631,173.7941,0.8000
22.0631,173.7941,1.8000
22.0631,173.7941,1.8000
57.6575,162.1679,1.8000
57.6575,162.1679,0.8000
59.6191,160.5525,0.8000
61.0687,160.2737,0.8000
64.1748,159.8920,0.8000
65.4709,159.3828,0.8000
67.0027,158.6662,0.8000
68.3550,158.2567,0.8000
70.1746,157.8566,0.8000
71.9962,157.2933,0.8000
73.4100,156.4454,0.8000
73.9644,155.9519,0.8000
75.1576,154.1995,0.8000
75.6302,148.6891,0.8000
74.7537,143.1787,0.8000
74.1769,139.0249,0.8000
73.5552,137.0010,0.8000
72.7434,135.4848,0.8000
68.4276,130.0836,0.8000
66.6878,127.5804,0.8000
65.6525,124.8940,0.8000
65.6525,124.8940,0.8000
65.6525,124.8940,1.8000
65.6525,124.8940,1.8000
65.0027,123.2040,1.8000
65.0027,123.2040,0.8000
64.1332,121.9230,0.8000
63.6028,119.7595,0.8000
63.0833,115.1647,0.8000
62.3374,113.1881,0.8000
61.5539,112.3622,0.8000
60.1612,111.7338,0.8000
55.8120,111.0193,0.8000
54.2913,110.6586,0.8000
51.7151,108.7255,0.8000
51.1960,107.5653,0.8000
50.8751,103.9218,0.8000
48.6238,100.1896,0.8000
47.6805,98.1610,0.8000
47.0699,96.0248,0.8000
47.1473,88.1540,0.8000
48.3742,83.4352,0.8000
48.4431,81.3226,0.8000
47.7861,77.1358,0.8000
48.4113,75.5524,0.8000
48.4113,75.5524,0.8000
48.4113,75.5524,1.8000
48.4113,75.5524,1.8000
50.3598,73.9721,1.8000
50.3598,73.9721,0.8000
53.2324,74.6489,0.8000
54.3432,74.2178,0.8000
54.7927,73.4876,0.8000
54.2417,72.7279,0.8000
52.8122,71.6039,0.8000
51.4757,69.3364,0.8000
51.1311,65.0482,0.8000
51.0385,57.1558,0.8000
51.8775,53.0341,0.8000
52.6967,49.7864,0.8000
53.3442,46.1589,0.8000
54.2523,40.9079,0.8000
55.1697,37.8161,0.8000
56.1862,35.5842,0.8000
58.2671,32.4887,0.8000
59.7018,30.9289,0.8000
63.0954,27.8663,0.8000
66.7039,24.5289,0.8000
68.3181,22.5758,0.8000
68.3181,22.5758,0.8000
68.3181,22.5758,1.8000
68.3181,22.5758,1.8000
74.2066,17.8561,1.8000
74.2066,17.8561,0.8000
76.6921,16.6158,0.8000
80.2258,14.2824,0.8000
82.1213,13.1119,0.8000
85.8199,11.2821,0.8000
88.1768,10.0435,0.8000
95.2870,6.8633,0.8000
97.8993,6.2049,0.8000
103.8861,5.6719,0.8000
117.0267,5.8745,0.8000
119.6984,6.2883,0.8000
124.4200,7.4105,0.8000
126.9452,8.0051,0.8000
129.5469,8.5459,0.8000
132.2569,9.3690,0.8000
139.5301,12.2460,0.8000
141.4434,12.8563,0.8000
147.4917,14.6117,0.8000
151.3236,16.2250,0.8000
154.7022,18.8609,0.8000
154.7022,18.8609,0.8000
154.7022,18.8609,1.8000
154.7022,18.8609,1.8000
156.0215,21.4734,1.8000
156.0215,21.4734,0.8000
158.5500,23.6033,0.8000
159.4198,25.1600,0.8000
160.5874,26.7086,0.8000
161.9582,27.5970,0.8000
162.6578,27.9774,0.8000
164.4688,29.3889,0.8000
165.0437,30.4278,0.8000
165.7347,32.3450,0.8000
168.1800,35.8049,0.8000
171.2787,39.7800,0.8000
171.9618,41.3894,0.8000
172.3928,43.0697,0.8000
173.2785,48.2429,0.8000
173.7973,49.8352,0.8000
174.6111,51.3130,0.8000
175.4882,52.5836,0.8000
176.0004,56.0728,0.8000
177.0623,58.7723,0.8000
177.1270,66.6295,0.8000
177.1270,66.6295,0.8000
177.1270,66.6295,1.8000
177.1270,66.6295,1.8000
176.2921,69.7559,1.8000
176.2921,69.7559,0.8000
176.1832,71.9813,0.8000
175.1146,74.4263,0.8000
174.3761,75.5067,0.8000
173.5551,76.5593,0.8000
171.3454,79.3129,0.8000
170.6339,80.3808,0.8000
169.7521,85.3147,0.8000
170.5725,87.2315,0.8000
170.5725,87.2315,0.8000
170.5725,87.2315,1.8000
170.5725,87.2315,1.8000
170.5138,88.6753,1.8000
170.5138,88.6753,0.8000
171.2259,92.3692,0.8000
170.3402,98.6098,0.8000
169.5442,101.8780,0.8000
168.7225,106.4413,0.8000
168.3133,109.2101,0.8000
167.7233,112.8326,0.8000
165.9901,120.1732,0.8000
165.2721,122.2853,0.8000
164.4418,124.3559,0.8000
163.2663,127.0082,0.8000
162.0321,129.6752,0.8000
159.4080,134.3256,0.8000
158.6232,135.3961,0.8000
157.7725,136.4246,0.8000
154.8190,139.6643,0.8000
148.6097,147.4023,0.8000
147.0679,149.1091,0.8000
146.5584,149.6162,0.8000
145.4549,150.5980,0.8000
145.4549,150.5980,0.8000
145.4549,150.5980,1.8000
145.4549,150.5980,1.8000
144.1936,151.2128,1.8000
144.1936,151.2128,0.8000
146.5875,149.9507,0.8000
148.8645,148.1184,0.8000
154.0818,141.7108,0.8000
157.2755,137.5029,0.8000
158.4873,135.8407,0.8000
161.3965,131.2675,0.8000
162.7700,128.6441,0.8000
163.9382,125.9739,0.8000
164.5335,124.3411,0.8000
165.1711,122.2396,0.8000
165.7149,120.1238,0.8000
166.8323,115.5259,0.8000
168.1345,110.7426,0.8000
168.4717,109.1613,0.8000
168.7905,106.4644,0.8000
169.4202,101.8591,0.8000
170.4425,98.6335,0.8000
171.1896,92.3561,0.8000
171.1896,92.3561,0.8000
171.1896,92.3561,1.8000
171.1896,92.3561,1.8000
173.8131,92.3324,1.8000
173.8131,92.3324,0.8000
173.6481,97.3745,0.8000
174.9477,97.8176,0.8000
176.8174,97.5016,0.8000
176.8610,94.8477,0.8000
176.1838,93.1294,0.8000
175.0638,90.2818,0.8000
175.0638,90.2818,0.8000
175.0638,90.2818,1.8000
175.0638,90.2818,1.8000
168.5397,91.3061,1.8000
168.5397,91.3061,0.8000
168.5602,87.1034,0.8000
167.9338,84.9956,0.8000
167.0851,82.9265,0.8000
165.5189,79.1938,0.8000
164.8035,76.6706,0.8000
164.3566,73.9039,0.8000
163.6848,70.3496,0.8000
159.8858,64.5689,0.8000
159.5188,62.8967,0.8000
159.3789,59.2175,0.8000
158.1467,55.3152,0.8000
156.9937,53.3344,0.8000
155.4321,50.8418,0.8000
154.6672,48.3076,0.8000
155.2137,44.0327,0.8000
154.7695,42.5099,0.8000
153.3624,41.4154,0.8000
153.3624,41.4154,0.8000
153.3624,41.4154,1.8000
153.3624,41.4154,1.8000
155.1833,42.4408,1.8000
155.1833,42.4408,0.8000
155.1417,43.0403,0.8000
154.9721,44.0780,0.8000
154.6876,48.2547,0.8000
155.4334,50.3365,0.8000
156.9508,52.8675,0.8000
158.2193,55.2470,0.8000
159.3129,59.2527,0.8000
159.4845,62.9130,0.8000
159.9789,64.5048,0.8000
160.7154,65.5742,0.8000
162.5522,67.7194,0.8000
163.5759,69.8346,0.8000
164.3850,73.8871,0.8000
164.9638,76.6606,0.8000
165.3031,79.2195,0.8000
165.3031,79.2195,0.8000
165.3031,79.2195,1.8000
165.3031,79.2195,1.8000
158.0325,75.5461,1.8000
158.0325,75.5461,0.8000
157.0881,74.7644,0.8000
155.6908,73.6036,0.8000
153.2739,71.8648,0.8000
151.3012,70.8437,0.8000
149.9337,70.3491,0.8000
147.4613,69.8945,0.8000
143.7613,70.1407,0.8000
141.4084,70.5686,0.8000
138.0523,71.1040,0.8000
128.9199,71.4590,0.8000
126.3882,71.9719,0.8000
122.9740,73.9055,0.8000
122.9740,73.9055,0.8000
122.9740,73.9055,1.8000
122.9740,73.9055,1.8000
122.9410,73.8587,1.8000
122.9410,73.8587,0.8000
123.7772,73.0135,0.8000
125.0470,72.2843,0.8000
126.7175,71.7986,0.8000
128.4223,71.5808,0.8000
138.2127,71.4133,0.8000
141.4335,70.7659,0.8000
143.4888,69.8010,0.8000
143.4888,69.8010,0.8000
143.4888,69.8010,1.8000
143.4888,69.8010,1.8000
147.3610,69.7805,1.8000
147.3610,69.7805,0.8000
150.2703,70.2809,0.8000
151.9830,70.9329,0.8000
153.2719,71.6564,0.8000
153.8329,72.0254,0.8000
154.5068,72.4922,0.8000
155.0632,72.8780,0.8000
156.3099,73.7396,0.8000
157.6154,74.8898,0.8000
157.8556,75.9503,0.8000
156.8610,76.5357,0.8000
154.1557,76.5420,0.8000
152.5407,75.6689,0.8000
150.1020,75.5235,0.8000
150.1020,75.5235,0.8000
150.1020,75.5235,1.8000
150.1020,75.5235,1.8000
148.0692,74.5171,1.8000
148.0692,74.5171,0.8000
142.8512,74.4604,0.8000
137.5184,75.5781,0.8000
132.0892,76.2585,0.8000
127.9431,75.5172,0.8000
127.5603,74.4961,0.8000
128.0296,74.0598,0.8000
129.7390,73.2524,0.8000
129.7390,73.2524,0.8000
129.7390,73.2524,1.8000
129.7390,73.2524,1.8000
127.6600,75.5340,1.8000
127.6600,75.5340,0.8000
132.0107,75.9467,0.8000
133.0891,75.8795,0.8000
137.5521,75.2631,0.8000
142.8552,74.5775,0.8000
147.9292,74.7938,0.8000
150.1785,75.2159,0.8000
152.5466,75.8501,0.8000
154.2369,76.3031,0.8000
156.5917,76.7116,0.8000
156.5917,76.7116,0.8000
156.5917,76.7116,1.8000
156.5917,76.7116,1.8000
155.3674,81.7868,1.8000
155.3674,81.7868,0.8000
154.1161,81.7925,0.8000
153.1835,81.6371,0.8000
152.0173,81.2681,0.8000
150.7725,80.6974,0.8000
148.8975,79.6232,0.8000
146.6772,78.3223,0.8000
145.3770,77.6891,0.8000
143.5165,77.0780,0.8000
143.5165,77.0780,0.8000
143.5165,77.0780,1.8000
143.5165,77.0780,1.8000
147.4626,80.7661,1.8000
147.4626,80.7661,0.8000
145.2721,79.3749,0.8000
144.1210,78.7748,0.8000
143.0466,78.3165,0.8000
141.4771,77.8020,0.8000
139.4812,77.3390,0.8000
136.7429,76.9767,0.8000
130.8227,77.5238,0.8000
129.0902,78.3401,0.8000
127.3749,79.8968,0.8000
126.4931,81.2250,0.8000
125.5044,82.1831,0.8000
124.4359,82.4414,0.8000
122.5456,82.0004,0.8000
120.9234,80.7404,0.8000
120.9234,80.7404,0.8000
120.9234,80.7404,1.8000
120.9234,80.7404,1.8000
118.6708,76.5604,1.8000
118.6708,76.5604,0.8000
119.3539,78.2566,0.8000
119.9802,79.3340,0.8000
121.4250,81.0355,0.8000
122.4796,81.8723,0.8000
123.7053,82.5648,0.8000
126.3690,83.3659,0.8000
