x,y,z
57.5182,145.0466,1.8000
57.5182,145.0466,1.8000
57.5182,145.0466,0.8000
58.0901,147.0046,0.8000
58.6596,148.3154,0.8000
59.1915,149.3076,0.8000
59.7974,150.2795,0.8000
60.8551,151.7254,0.8000
62.0585,153.1235,0.8000
63.9017,154.9516,0.8000
68.6501,158.6976,0.8000
71.6166,160.6306,0.8000
74.3953,162.2631,0.8000
76.4458,163.3848,0.8000
76.4458,163.3848,0.8000
76.4458,163.3848,1.8000
76.4458,163.3848,1.8000
76.4903,163.3390,1.8000
76.4903,163.3390,0.8000
75.0160,162.3807,0.8000
74.4321,162.0080,0.8000
72.2337,160.6112,0.8000
69.3272,158.7122,0.8000
63.2494,154.0231,0.8000
59.6714,149.8746,0.8000
59.0797,148.8662,0.8000
58.5851,147.8301,0.8000
58.5851,147.8301,0.8000
58.5851,147.8301,1.8000
58.5851,147.8301,1.8000
59.7139,145.5568,1.8000
59.7139,145.5568,0.8000
60.3022,147.3698,0.8000
60.8627,148.3792,0.8000
61.5465,149.3600,0.8000
65.4372,153.5578,0.8000
65.8987,154.0307,0.8000
66.7879,155.0003,0.8000
66.7879,155.0003,0.8000
66.7879,155.0003,1.8000
66.7879,155.0003,1.8000
66.6846,154.9039,1.8000
66.6846,154.9039,0.8000
65.9516,154.0969,0.8000
65.5167,153.6655,0.8000
63.4348,151.6516,0.8000
61.3439,149.3062,0.8000
60.6810,148.3073,0.8000
60.2209,147.3164,0.8000
60.0722,145.6650,0.8000
60.4576,144.7773,0.8000
61.2584,143.9570,0.8000
61.2584,143.9570,0.8000
61.2584,143.9570,1.8000
61.2584,143.9570,1.8000
63.2780,142.2144,1.8000
63.2780,142.2144,0.8000
61.4402,142.2063,0.8000
59.8611,142.8906,0.8000
58.4650,143.5667,0.8000
57.2055,143.8766,0.8000
54.9990,144.2504,0.8000
53.3423,144.8359,0.8000
51.2342,145.7601,0.8000
49.5632,146.3044,0.8000
47.9590,146.8038,0.8000
45.4784,147.9038,0.8000
44.2194,148.3154,0.8000
42.4259,148.7188,0.8000
38.9989,149.4257,0.8000
36.5184,150.2568,0.8000
26.3997,154.3609,0.8000
24.6920,154.6747,0.8000
22.9864,155.0990,0.8000
21.5744,155.7430,0.8000
19.9473,156.4627,0.8000
19.9473,156.4627,0.8000
19.9473,156.4627,1.8000
19.9473,156.4627,1.8000
51.9822,145.9991,1.8000
51.9822,145.9991,0.8000
53.7477,144.5452,0.8000
55.0523,144.2943,0.8000
57.8478,143.9508,0.8000
59.0143,143.4925,0.8000
60.3929,142.8476,0.8000
61.6100,142.4790,0.8000
63.2476,142.1189,0.8000
64.8871,141.6120,0.8000
66.1595,140.8489,0.8000
66.6585,140.4047,0.8000
67.7323,138.8276,0.8000
68.1577,133.8682,0.8000
67.3688,128.9088,0.8000
66.8497,125.1704,0.8000
66.2902,123.3489,0.8000
65.5596,121.9843,0.8000
61.6753,117.1232,0.8000
60.1095,114.8704,0.8000
59.1778,112.4526,0.8000
59.1778,112.4526,0.8000
59.1778,112.4526,1.8000
59.1778,112.4526,1.8000
58.5929,110.9316,1.8000
58.5929,110.9316,0.8000
57.8104,109.7787,0.8000
57.3330,107.8316,0.8000
56.8655,103.6962,0.8000
56.1942,101.9173,0.8000
55.4890,101.1740,0.8000
54.2356,100.6084,0.8000
50.3213,99.9654,0.8000
48.9527,99.6407,0.8000
46.6341,97.9010,0.8000
46.1669,96.8568,0.8000
45.8781,93.5776,0.8000
43.8519,90.2186,0.8000
43.0030,88.3929,0.8000
42.4534,86.4703,0.8000
42.5231,79.3866,0.8000
43.6273,75.1397,0.8000
43.6893,73.2383,0.8000
43.0980,69.4702,0.8000
43.6607,68.0452,0.8000
