x,y,z
56.6132,144.5666,1
56.6132,144.5666,1
56.6132,144.5666,0
57.1851,146.5246,0
57.7546,147.8354,0
58.2865,148.8276,0
58.8924,149.7995,0
59.9501,151.2454,0
61.1535,152.6435,0
62.9967,154.4716,0
67.7451,158.2176,0
70.7116,160.1506,0
73.4903,161.7831,0
75.5408,162.9048,0
75.5408,162.9048,0
75.5408,162.9048,1
75.5408,162.9048,1
75.5853,162.8590,1
75.5853,162.8590,0
74.1110,161.9007,0
73.5271,161.5280,0
71.3287,160.1312,0
68.4222,158.2322,0
62.3444,153.5431,0
58.7664,149.3946,0
58.1747,148.3862,0
57.6801,147.3501,0
57.6801,147.3501,0
57.6801,147.3501,1
57.6801,147.3501,1
58.8089,145.0768,1
58.8089,145.0768,0
59.3972,146.8898,0
59.9577,147.8992,0
60.6415,148.8800,0
64.5322,153.0778,0
64.9937,153.5507,0
65.8829,154.5203,0
65.8829,154.5203,0
65.8829,154.5203,1
65.8829,154.5203,1
65.7796,154.4239,1
65.7796,154.4239,0
65.0466,153.6169,0
64.6117,153.1855,0
62.5298,151.1716,0
60.4389,148.8262,0
59.7760,147.8273,0
59.3159,146.8364,0
59.1672,145.1850,0
59.5526,144.2973,0
60.3534,143.4770,0
60.3534,143.4770,0
60.3534,143.4770,1
60.3534,143.4770,1
62.3730,141.7344,1
62.3730,141.7344,0
60.5352,141.7263,0
58.9561,142.4106,0
57.5600,143.0867,0
56.3005,143.3966,0
54.0940,143.7704,0
52.4373,144.3559,0
50.3292,145.2801,0
48.6582,145.8244,0
47.0540,146.3238,0
44.5734,147.4238,0
43.3144,147.8354,0
41.5209,148.2388,0
38.0939,148.9457,0
35.6134,149.7768,0
25.4947,153.8809,0
23.7870,154.1947,0
22.0814,154.6190,0
20.6694,155.2630,0
19.0423,155.9827,0
19.0423,155.9827,0
19.0423,155.9827,1
19.0423,155.9827,1
51.0772,145.5191,1
51.0772,145.5191,0
52.8427,144.0652,0
54.1473,143.8143,0
56.9428,143.4708,0
58.1093,143.0125,0
59.4879,142.3676,0
60.7050,141.9990,0
62.3426,141.6389,0
63.9821,141.1320,0
65.2545,140.3689,0
65.7535,139.9247,0
66.8273,138.3476,0
67.2527,133.3882,0
66.4638,128.4288,0
65.9447,124.6904,0
65.3852,122.8689,0
64.6546,121.5043,0
60.7703,116.6432,0
59.2045,114.3904,0
58.2728,111.9726,0
58.2728,111.9726,0
58.2728,111.9726,1
58.2728,111.9726,1
57.6879,110.4516,1
57.6879,110.4516,0
56.9054,109.2987,0
56.4280,107.3516,0
55.9605,103.2162,0
55.2892,101.4373,0
54.5840,100.6940,0
53.3306,100.1284,0
49.4163,99.4854,0
48.0477,99.1607,0
45.7291,97.4210,0
45.2619,96.3768,0
44.9731,93.0976,0
42.9469,89.7386,0
42.0980,87.9129,0
41.5484,85.9903,0
41.6181,78.9066,0
42.7223,74.6597,0
42.7843,72.7583,0
42.1930,68.9902,0
42.7557,67.5652,0
42.7557,67.5652,0
42.7557,67.5652,1
42.7557,67.5652,1
44.5093,66.1429,1
44.5093,66.1429,0
47.0947,66.7520,0
48.0944,66.3640,0
48.4989,65.7068,0
48.0030,65.0231,0
46.7165,64.0115,0
45.5136,61.9708,0
45.2035,58.1114,0
45.1202,51.0082,0
45.8753,47.2987,0
46.6125,44.3758,0
47.1953,41.1110,0
48.0126,36.3851,0
48.8382,33.6025,0
49.7531,31.5938,0
51.6259,28.8078,0
52.9171,27.4040,0
55.9714,24.6477,0
59.2190,21.6440,0
60.6718,19.8862,0
60.6718,19.8862,0
60.6718,19.8862,1
60.6718,19.8862,1
65.9714,15.6385,1
65.9714,15.6385,0
68.2084,14.5222,0
71.3887,12.4222,0
73.0947,11.3687,0
76.4234,9.7219,0
78.5446,8.6071,0
84.9438,5.7450,0
87.2949,5.1524,0
92.6830,4.6727,0
104.5095,4.8551,0
106.9141,5.2275,0
111.1635,6.2375,0
113.4362,6.7726,0
115.7777,7.2593,0
118.2167,8.0001,0
124.7626,10.5894,0
126.4846,11.1387,0
131.9280,12.7185,0
135.3767,14.1705,0
138.4175,16.5428,0
138.4175,16.5428,0
138.4175,16.5428,1
138.4175,16.5428,1
139.6048,18.8941,1
139.6048,18.8941,0
141.8805,20.8110,0
142.6633,22.2120,0
143.7142,23.6057,0
144.9479,24.4053,0
145.5775,24.7477,0
147.2074,26.0180,0
147.7248,26.9530,0
148.3467,28.6785,0
150.5475,31.7924,0
153.3363,35.3700,0
153.9511,36.8185,0
154.3390,38.3307,0
155.1362,42.9866,0
155.6031,44.4197,0
156.3355,45.7497,0
157.1249,46.8932,0
157.5859,50.0335,0
158.5416,52.4631,0
158.5998,59.5346,0
158.5998,59.5346,0
158.5998,59.5346,1
158.5998,59.5346,1
157.8484,62.3483,1
157.8484,62.3483,0
157.7504,64.3512,0
156.7886,66.5517,0
156.1240,67.5240,0
155.3851,68.4714,0
153.3964,70.9496,0
152.7560,71.9107,0
151.9624,76.3512,0
152.7007,78.0763,0
152.7007,78.0763,0
152.7007,78.0763,1
152.7007,78.0763,1
152.6479,79.3758,1
152.6479,79.3758,0
153.2888,82.7003,0
152.4917,88.3168,0
151.7753,91.2582,0
151.0358,95.3652,0
150.6675,97.8571,0
150.1365,101.1173,0
148.5766,107.7239,0
147.9304,109.6248,0
147.1831,111.4883,0
146.1252,113.8754,0
145.0144,116.2757,0
142.6527,120.4610,0
141.9464,121.4245,0
141.1808,122.3501,0
138.5226,125.2659,0
132.9342,132.2301,0
131.5466,133.7662,0
131.0881,134.2226,0
130.0949,135.1062,0
130.0949,135.1062,0
130.0949,135.1062,1
130.0949,135.1062,1
128.9597,135.6595,1
128.9597,135.6595,0
131.1142,134.5236,0
133.1635,132.8746,0
137.8591,127.1077,0
140.7335,123.3206,0
141.8241,121.8246,0
144.4424,117.7087,0
145.6785,115.3477,0
146.7299,112.9445,0
147.2656,111.4750,0
147.8395,109.5836,0
148.3289,107.6794,0
149.3346,103.5413,0
150.5066,99.2363,0
150.8100,97.8132,0
151.0970,95.3860,0
151.6637,91.2412,0
152.5838,88.3381,0
153.2561,82.6885,0
153.2561,82.6885,0
153.2561,82.6885,1
153.2561,82.6885,1
155.6173,82.6672,1
155.6173,82.6672,0
155.4688,87.2050,0
156.6384,87.6038,0
158.3212,87.3194,0
158.3604,84.9309,0
157.7509,83.3845,0
156.7429,80.8216,0
156.7429,80.8216,0
156.7429,80.8216,1
156.7429,80.8216,1
150.8712,81.7435,1
150.8712,81.7435,0
150.8897,77.9611,0
150.3259,76.0640,0
149.5621,74.2019,0
148.1525,70.8424,0
147.5087,68.5715,0
147.1064,66.0815,0
146.5018,62.8826,0
143.0827,57.6800,0
142.7524,56.1750,0
142.6265,52.8637,0
141.5175,49.3517,0
140.4798,47.5690,0
139.0744,45.3256,0
138.3860,43.0448,0
138.8778,39.1974,0
138.4780,37.8269,0
137.2117,36.8419,0
137.2117,36.8419,0
137.2117,36.8419,1
137.2117,36.8419,1
138.8505,37.7647,1
138.8505,37.7647,0
138.8130,38.3043,0
138.6604,39.2382,0
138.4043,42.9972,0
139.0756,44.8708,0
140.4412,47.1488,0
141.5829,49.2903,0
142.5671,52.8954,0
142.7216,56.1897,0
143.1665,57.6223,0
143.8294,58.5848,0
145.4825,60.5155,0
146.4038,62.4191,0
147.1320,66.0664,0
147.6529,68.5625,0
147.9583,70.8656,0
147.9583,70.8656,0
147.9583,70.8656,1
147.9583,70.8656,1
141.4147,67.5595,1
141.4147,67.5595,0
140.5648,66.8560,0
139.3072,65.8112,0
137.1320,64.2463,0
135.3566,63.3273,0
134.1258,62.8822,0
131.9007,62.4731,0
128.5707,62.6946,0
126.4531,63.0797,0
123.4326,63.5616,0
115.2134,63.8811,0
112.9349,64.3427,0
109.8621,66.0829,0
109.8621,66.0829,0
109.8621,66.0829,1
109.8621,66.0829,1
109.8324,66.0408,1
109.8324,66.0408,0
110.5850,65.2802,0
111.7278,64.6239,0
113.2313,64.1867,0
114.7656,63.9907,0
123.5769,63.8400,0
126.4757,63.2573,0
128.3254,62.3889,0
128.3254,62.3889,0
128.3254,62.3889,1
128.3254,62.3889,1
131.8104,62.3704,1
131.8104,62.3704,0
134.4288,62.8208,0
135.9702,63.4076,0
137.1302,64.0588,0
137.6351,64.3909,0
138.2416,64.8110,0
138.7424,65.1582,0
139.8644,65.9336,0
141.0394,66.9688,0
141.2555,67.9233,0
140.3604,68.4501,0
137.9256,68.4558,0
136.4721,67.6700,0
134.2773,67.5391,0
134.2773,67.5391,0
134.2773,67.5391,1
134.2773,67.5391,1
132.4478,66.6334,1
132.4478,66.6334,0
127.7516,66.5824,0
122.9521,67.5883,0
118.0658,68.2006,0
114.3343,67.5335,0
113.9898,66.6145,0
114.4121,66.2218,0
115.9506,65.4952,0
115.9506,65.4952,0
115.9506,65.4952,1
115.9506,65.4952,1
114.0795,67.5486,1
114.0795,67.5486,0
117.9951,67.9200,0
118.9657,67.8595,0
122.9824,67.3048,0
127.7552,66.6877,0
132.3218,66.8824,0
134.3462,67.2623,0
136.4774,67.8331,0
137.9987,68.2408,0
140.1180,68.6084,0
140.1180,68.6084,0
140.1180,68.6084,1
140.1180,68.6084,1
139.0162,73.1761,1
139.0162,73.1761,0
137.8900,73.1813,0
137.0507,73.0414,0
136.0011,72.7093,0
134.8808,72.1957,0
133.1933,71.2289,0
131.1950,70.0581,0
130.0248,69.4882,0
128.3504,68.9382,0
128.3504,68.9382,0
128.3504,68.9382,1
128.3504,68.9382,1
131.9018,72.2575,1
131.9018,72.2575,0
129.9304,71.0054,0
128.8944,70.4653,0
127.9274,70.0529,0
126.5149,69.5898,0
124.7186,69.1731,0
122.2541,68.8470,0
116.9259,69.3394,0
115.3667,70.0741,0
113.8229,71.4751,0
113.0293,72.6705,0
112.1395,73.5328,0
111.1778,73.7653,0
109.4765,73.3684,0
108.0166,72.2344,0
108.0166,72.2344,0
108.0166,72.2344,1
108.0166,72.2344,1
105.9892,68.4724,1
105.9892,68.4724,0
106.6040,69.9989,0
107.1677,70.9686,0
108.4680,72.4999,0
109.4171,73.2531,0
110.5203,73.8763,0
112.9176,74.5973,0
115.0863,74.6205,0
115.8971,74.4188,0
116.7852,73.9500,0
117.7582,72.3412,0
117.7582,72.3412,0
117.7582,72.3412,1
117.7582,72.3412,1
111.5336,75.6067,1
111.5336,75.6067,0
112.0771,76.4774,0
112.4716,76.9244,0
113.0287,77.4182,0
113.5408,77.7796,0
114.7768,78.4284,0
116.3491,78.9728,0
118.6046,79.4310,0
121.0477,79.6578,0
123.5122,79.6937,0
128.2933,79.3659,0
129.2514,79.2477,0
132.2891,78.7611,0
132.2891,78.7611,0
132.2891,78.7611,1
132.2891,78.7611,1
132.4270,78.8485,1
132.4270,78.8485,0
129.1059,79.1437,0
128.1365,79.2624,0
123.5223,79.7405,0
121.1801,79.7783,0
118.8036,79.5444,0
116.4875,78.9340,0
115.1885,78.3703,0
115.1885,78.3703,0
115.1885,78.3703,1
115.1885,78.3703,1
125.9577,74.2194,1
125.9577,74.2194,0
126.9497,73.1029,0
127.3863,72.2902,0
128.6663,72.1871,0
130.8386,72.7419,0
133.5561,73.5961,0
135.4670,74.0445,0
138.9942,74.1901,0
138.9942,74.1901,0
138.9942,74.1901,1
138.9942,74.1901,1
138.9907,74.1928,1
138.9907,74.1928,0
135.4688,74.0762,0
133.6007,73.4666,0
130.0949,72.8666,0
128.2571,72.1961,0
127.4493,72.7948,0
126.7756,73.5224,0
125.7902,74.0578,0
125.0495,73.9150,0
125.2253,72.7050,0
125.2253,72.7050,0
125.2253,72.7050,1
125.2253,72.7050,1
124.8297,91.1292,1
124.8297,91.1292,0
125.6316,92.2727,0
126.1270,93.1354,0
127.1784,94.3961,0
128.2702,95.3217,0
134.1508,99.8733,0
134.8784,100.7800,0
135.4356,102.0468,0
135.4623,102.9256,0
134.9502,104.2633,0
134.0302,105.6316,0
133.1220,106.8852,0
132.5042,107.9119,0
131.9251,109.6853,0
131.6238,111.7996,0
131.4950,112.5127,0
131.2324,113.4279,0
131.2324,113.4279,0
131.2324,113.4279,1
131.2324,113.4279,1
132.8861,107.4578,1
132.8861,107.4578,0
134.2607,106.1623,0
135.1683,104.7486,0
135.5086,103.3599,0
135.3756,102.0629,0
134.6141,100.3737,0
133.5063,98.9401,0
129.1130,95.2026,0
126.6664,93.4544,0
125.7397,92.7735,0
125.7397,92.7735,0
125.7397,92.7735,1
125.7397,92.7735,1
121.8109,93.4615,1
121.8109,93.4615,0
122.2666,93.6996,0
124.1252,94.4750,0
126.9503,95.7781,0
128.4139,97.1040,0
128.5944,98.1378,0
128.2583,99.2326,0
129.3798,101.5936,0
129.3798,101.5936,0
129.3798,101.5936,1
129.3798,101.5936,1
129.2960,101.6395,1
129.2960,101.6395,0
128.1281,100.0524,0
128.0260,98.8187,0
128.0004,98.1689,0
127.8092,97.4021,0
126.5558,96.2024,0
125.5716,95.6789,0
122.9960,94.4731,0
120.5327,92.6337,0
120.5327,92.6337,0
120.5327,92.6337,1
120.5327,92.6337,1
115.2372,96.0134,1
115.2372,96.0134,0
114.1080,96.3480,0
113.3043,96.5213,0
111.7742,96.8020,0
110.6681,97.0463,0
109.5989,97.3884,0
108.6693,97.8113,0
107.7153,98.4175,0
106.8451,99.1943,0
106.8451,99.1943,0
106.8451,99.1943,1
106.8451,99.1943,1
104.0926,97.9875,1
104.0926,97.9875,0
105.4558,97.4597,0
108.8297,95.6345,0
110.0545,95.1105,0
113.1742,94.8601,0
114.0706,95.2041,0
115.3346,96.1117,0
115.3346,96.1117,0
115.3346,96.1117,1
115.3346,96.1117,1
100.9526,97.9601,1
100.9526,97.9601,0
98.7008,96.5038,0
95.4796,95.6156,0
91.6613,95.8419,0
89.5686,96.3697,0
88.5108,96.3583,0
87.3382,95.6075,0
87.3382,95.6075,0
87.3382,95.6075,1
87.3382,95.6075,1
86.6723,94.5898,1
86.6723,94.5898,0
88.1692,96.3475,0
89.5289,96.5412,0
90.6616,96.3394,0
92.1775,95.9242,0
95.0180,95.4984,0
96.4543,95.7016,0
100.0682,98.2781,0
100.0130,99.6606,0
99.1630,100.6898,0
99.1630,100.6898,0
99.1630,100.6898,1
99.1630,100.6898,1
96.3046,91.7005,1
96.3046,91.7005,0
97.7641,90.1332,0
98.6230,87.2466,0
98.9789,86.3073,0
99.3691,85.3727,0
100.0344,83.2606,0
100.9366,80.7790,0
100.9366,80.7790,0
100.9366,80.7790,1
100.9366,80.7790,1
102.2630,79.8161,1
102.2630,79.8161,0
101.9827,78.5087,0
98.8493,75.4908,0
97.8401,74.2293,0
97.0210,72.7423,0
96.2737,71.1193,0
95.5467,69.6442,0
94.3016,67.6232,0
93.2260,66.6985,0
91.5098,66.1070,0
91.5098,66.1070,0
91.5098,66.1070,1
91.5098,66.1070,1
93.8294,66.6607,1
93.8294,66.6607,0
95.3459,68.8045,0
95.9785,70.0056,0
96.4526,71.0031,0
97.0667,72.3110,0
98.9111,75.4360,0
101.6661,78.6099,0
102.4538,79.7613,0
102.4538,79.7613,0
102.4538,79.7613,1
102.4538,79.7613,1
100.4127,78.4373,1
100.4127,78.4373,0
100.8315,80.7715,0
100.1953,83.2686,0
99.1939,85.3160,0
97.8770,87.1276,0
97.1451,90.0958,0
96.9063,90.7989,0
96.2702,91.6721,0
96.2702,91.6721,0
96.2702,91.6721,1
96.2702,91.6721,1
89.2176,77.4688,1
89.2176,77.4688,0
89.4902,76.5133,0
89.0769,75.6903,0
87.9554,74.8459,0
86.4282,74.1438,0
84.5862,73.6420,0
83.2836,73.5880,0
83.2836,73.5880,0
83.2836,73.5880,1
83.2836,73.5880,1
81.2930,71.8303,1
81.2930,71.8303,0
80.7383,72.5292,0
79.9590,73.1737,0
78.2714,74.0975,0
77.0412,74.4826,0
75.9233,74.6035,0
73.9553,73.9042,0
72.9539,71.7511,0
72.9539,71.7511,0
72.9539,71.7511,1
72.9539,71.7511,1
74.7080,74.3809,1
74.7080,74.3809,0
74.0540,72.7583,0
73.2729,71.9806,0
72.5648,72.0383,0
69.4617,74.1632,0
68.4443,74.4348,0
67.6429,73.8508,0
67.6429,73.8508,0
67.6429,73.8508,1
67.6429,73.8508,1
64.3005,73.7993,1
64.3005,73.7993,0
66.2185,73.0225,0
67.4540,72.2741,0
68.0160,71.8857,0
69.1915,71.0262,0
70.6801,69.9683,0
71.7047,69.3399,0
81.9827,69.4636,0
81.9827,69.4636,0
81.9827,69.4636,1
81.9827,69.4636,1
83.7374,69.4424,1
83.7374,69.4424,0
84.9694,69.4991,0
86.1585,69.8832,0
87.2431,70.4583,0
88.5220,71.1996,0
89.1374,71.4897,0
90.2695,71.7907,0
90.2695,71.7907,0
90.2695,71.7907,1
90.2695,71.7907,1
87.8978,68.5385,1
87.8978,68.5385,0
85.0905,68.2824,0
84.1698,68.2508,0
81.4362,68.0698,0
74.8031,66.5889,0
68.9450,65.9813,0
67.7272,66.1926,0
66.0089,66.8507,0
63.3210,68.5186,0
62.2797,68.7874,0
61.0502,68.0807,0
61.0406,66.7080,0
61.6252,65.6468,0
64.8339,63.3070,0
66.5006,62.8402,0
71.2782,62.3719,0
71.2782,62.3719,0
71.2782,62.3719,1
71.2782,62.3719,1
73.6108,62.4470,1
73.6108,62.4470,0
75.5010,63.2271,0
77.8490,63.6774,0
83.0412,64.0994,0
84.8238,64.4041,0
86.3177,64.8667,0
87.4731,65.3496,0
88.9165,66.0588,0
91.5069,67.5108,0
93.2527,68.5182,0
93.2527,68.5182,0
93.2527,68.5182,1
93.2527,68.5182,1
76.6931,66.7165,1
76.6931,66.7165,0
75.3352,66.9542,0
68.9593,66.1883,0
67.7374,66.2096,0
66.0041,66.6943,0
63.3145,68.4482,0
62.3172,68.6897,0
61.3697,68.0646,0
61.2307,66.9268,0
65.2010,63.2257,0
66.6391,62.7698,0
70.5731,63.0617,0
72.0302,63.5418,0
72.9967,63.8829,0
72.9967,63.8829,0
72.9967,63.8829,1
72.9967,63.8829,1
57.3493,57.5415,1
57.3493,57.5415,0
56.1236,59.1920,0
55.4575,60.5514,0
54.5377,64.1603,0
54.1718,67.9587,0
53.8970,71.4434,0
53.2944,76.5473,0
52.7769,79.2595,0
52.6000,79.9976,0
52.1140,81.7038,0
52.1140,81.7038,0
52.1140,81.7038,1
52.1140,81.7038,1
52.1845,81.6990,1
52.1845,81.6990,0
52.9231,79.4056,0
53.4778,76.5950,0
53.9244,71.4099,0
54.0859,67.9266,0
54.4145,64.1556,0
55.6002,59.6801,0
56.0961,58.6609,0
57.9373,56.1340,0
57.9373,56.1340,0
57.9373,56.1340,1
57.9373,56.1340,1
