x,y,z
95.3085,305.961,0
95.3085,305.961,0
96.2712,310.105,0
97.23,312.879,0
98.1254,314.979,0
99.1454,317.036,0
100.926,320.096,0
102.952,323.055,0
106.055,326.924,0
114.049,334.852,0
119.043,338.943,0
123.721,342.398,0
127.173,344.772,0
127.248,344.675,0
124.766,342.647,0
123.783,341.858,0
120.082,338.902,0
115.189,334.883,0
104.957,324.959,0
98.9334,316.179,0
97.9372,314.045,0
97.1046,311.852,0
99.0049,307.041,0
99.9953,310.878,0
100.939,313.014,0
102.09,315.09,0
108.64,323.974,0
109.417,324.975,0
110.914,327.027,0
110.74,326.823,0
109.506,325.115,0
108.774,324.202,0
105.269,319.94,0
101.749,314.976,0
100.633,312.862,0
99.8585,310.765,0
99.6081,307.27,0
100.257,305.391,0
101.605,303.655,0
105.005,299.967,0
101.911,299.95,0
99.2527,301.398,0
96.9022,302.829,0
94.782,303.485,0
91.0673,304.276,0
88.2784,305.515,0
84.7292,307.471,0
81.9162,308.623,0
79.2155,309.68,0
75.0394,312.008,0
72.9198,312.879,0
69.9005,313.733,0
64.1312,315.229,0
59.9552,316.988,0
42.9205,325.674,0
40.0455,326.338,0
37.1741,327.236,0
34.797,328.599,0
32.0578,330.122,0
32.0578,330.122,5
85.9887,307.977,5
85.9887,307.977,0
85.9887,307.977,0
88.9608,304.9,0
91.1571,304.369,0
95.8633,303.642,0
97.8271,302.672,0
100.148,301.307,0
102.197,300.527,0
104.954,299.765,0
107.714,298.692,0
109.856,297.077,0
110.696,296.137,0
112.504,292.799,0
113.22,282.303,0
111.892,271.807,0
111.018,263.895,0
110.076,260.04,0
108.846,257.152,0
102.307,246.864,0
99.6709,242.096,0
98.1023,236.979,0
97.1178,233.76,0
95.8003,231.32,0
94.9967,227.199,0
94.2096,218.447,0
93.0794,214.682,0
91.8922,213.109,0
89.7821,211.912,0
83.1924,210.551,0
80.8883,209.864,0
76.985,206.182,0
76.1985,203.972,0
75.7122,197.032,0
72.3012,189.923,0
70.8719,186.059,0
69.9468,181.99,0
70.0641,166.998,0
71.923,158.01,0
72.0274,153.986,0
71.0319,146.011,0
71.9792,142.995,0
74.9315,139.985,0
79.2839,141.274,0
80.9669,140.453,0
81.6481,139.062,0
80.8132,137.615,0
78.6473,135.474,0
76.6222,131.155,0
76.1002,122.987,0
75.9598,107.954,0
77.231,100.103,0
78.4722,93.917,0
79.4533,87.0075,0
80.8293,77.0055,0
82.2192,71.1163,0
83.7594,66.8652,0
86.9123,60.9689,0
89.086,57.9979,0
94.2279,52.1643,0
99.6953,45.8074,0
102.141,42.0872,0
102.141,42.0872,5
111.063,33.0973,5
111.063,33.0973,0
111.063,33.0973,0
114.829,30.7349,0
120.183,26.2902,0
123.055,24.0608,0
128.659,20.5754,0
132.23,18.2161,0
143.003,12.1587,0
146.961,10.9046,0
156.032,9.88925,0
175.942,10.2752,0
179.99,11.0634,0
187.144,13.2009,0
190.97,14.3335,0
194.912,15.3636,0
199.018,16.9314,0
210.038,22.4115,0
212.937,23.5739,0
222.101,26.9175,0
227.907,29.9904,0
233.026,35.0113,0
235.025,39.9875,0
238.856,44.0444,0
240.174,47.0095,0
241.943,49.9593,0
244.02,51.6515,0
245.08,52.376,0
247.824,55.0645,0
248.695,57.0435,0
249.742,60.6952,0
253.447,67.2856,0
258.142,74.8572,0
259.177,77.9226,0
259.83,81.1233,0
261.172,90.9769,0
261.958,94.0099,0
263.191,96.8247,0
264.52,99.2449,0
265.296,105.891,0
266.905,111.033,0
267.003,125.999,0
265.738,131.954,0
265.573,136.193,0
263.954,140.85,0
262.835,142.908,0
261.591,144.913,0
258.243,150.158,0
257.165,152.192,0
255.829,161.59,0
257.072,165.241,0
256.983,167.991,0
258.062,175.027,0
256.72,186.914,0
255.514,193.139,0
254.269,201.831,0
253.649,207.105,0
252.755,214.005,0
250.129,227.987,0
249.041,232.01,0
247.783,235.954,0
246.002,241.006,0
244.132,246.086,0
240.156,254.944,0
238.967,256.983,0
237.678,258.942,0
233.203,265.113,0
223.795,279.852,0
221.459,283.103,0
220.687,284.069,0
219.015,285.939,0
217.104,287.11,0
220.731,284.706,0
224.181,281.216,0
232.086,269.011,0
236.925,260.996,0
238.761,257.83,0
243.169,249.119,0
245.25,244.122,0
247.02,239.036,0
247.922,235.926,0
248.888,231.923,0
249.712,227.893,0
251.405,219.135,0
253.378,210.024,0
253.889,207.012,0
254.372,201.875,0
255.326,193.103,0
256.875,186.959,0
258.007,175.002,0
261.982,174.957,0
261.732,184.561,0
263.701,185.405,0
266.534,184.803,0
266.6,179.748,0
265.574,176.475,0
263.877,171.051,0
263.877,171.051,5
253.992,173.002,5
253.992,173.002,0
253.992,173.002,0
254.023,164.997,0
253.074,160.982,0
251.788,157.041,0
249.415,149.931,0
248.331,145.125,0
247.654,139.855,0
246.636,133.085,0
240.88,122.074,0
240.324,118.889,0
240.112,111.881,0
238.245,104.448,0
236.498,100.675,0
234.132,95.9273,0
232.973,91.1001,0
233.801,82.9576,0
233.128,80.0569,0
230.996,77.9722,0
233.755,79.9254,0
233.692,81.0672,0
233.435,83.0438,0
233.004,90.9995,0
234.134,94.9648,0
236.433,99.7857,0
238.355,104.318,0
240.012,111.948,0
240.272,118.92,0
241.021,121.952,0
242.137,123.989,0
244.92,128.075,0
246.471,132.104,0
247.697,139.823,0
248.574,145.106,0
249.088,149.98,0
249.088,149.98,5
238.072,142.983,5
238.072,142.983,0
238.072,142.983,0
236.641,141.494,0
234.524,139.283,0
