x,y,z
0.0336227,0.107936,0.0001
0.0336227,0.107936,0.0001
0.0336227,0.107936,0
0.0339623,0.109398,0
0.0343006,0.110377,0
0.0346165,0.111118,0
0.0349763,0.111843,0
0.0356046,0.112923,0
0.0363191,0.113967,0
0.0374137,0.115331,0
0.040234,0.118128,0
0.0419959,0.119571,0
0.0436461,0.12079,0
0.0448638,0.121628,0
0.0448638,0.121628,0
0.0448638,0.121628,0.0001
0.0448638,0.121628,0.0001
0.0448901,0.121594,0.0001
0.0448901,0.121594,0
0.0440147,0.120878,0
0.0436677,0.1206,0
0.0423624,0.119557,0
0.0406363,0.118139,0
0.0370264,0.114638,0
0.0349015,0.111541,0
0.0345501,0.110788,0
0.0342563,0.110014,0
0.0342563,0.110014,0
0.0342563,0.110014,0.0001
0.0342563,0.110014,0.0001
0.0349267,0.108317,0.0001
0.0349267,0.108317,0
0.0352761,0.109671,0
0.0356091,0.110424,0
0.036015,0.111157,0
0.0383259,0.114291,0
0.0385998,0.114644,0
0.0391278,0.115368,0
0.0391278,0.115368,0
0.0391278,0.115368,0.0001
0.0391278,0.115368,0.0001
0.0390667,0.115296,0.0001
0.0390667,0.115296,0
0.0386313,0.114693,0
0.0383731,0.114371,0
0.0371366,0.112868,0
0.0358947,0.111117,0
0.0355011,0.110371,0
0.0352279,0.109631,0
0.0351395,0.108398,0
0.0353683,0.107735,0
0.0358441,0.107123,0
0.0358441,0.107123,0
0.0358441,0.107123,0.0001
0.0358441,0.107123,0.0001
0.0370434,0.105822,0.0001
0.0370434,0.105822,0
0.0359518,0.105816,0
0.0350142,0.106326,0
0.0341849,0.106831,0
0.033437,0.107063,0
0.0321265,0.107342,0
0.0311427,0.107779,0
0.0298906,0.108469,0
0.0288982,0.108875,0
0.0279455,0.109248,0
0.0264722,0.110069,0
0.0257245,0.110377,0
0.0246594,0.110678,0
0.0226241,0.111206,0
0.0211509,0.111826,0
0.0151414,0.11489,0
0.0141272,0.115125,0
0.0131142,0.115442,0
0.0122756,0.115923,0
0.0113093,0.11646,0
0.0113093,0.11646,0
0.0113093,0.11646,0.0001
0.0113093,0.11646,0.0001
0.0303349,0.108647,0.0001
0.0303349,0.108647,0
0.0313834,0.107562,0
0.0321582,0.107375,0
0.0338184,0.107118,0
0.0345112,0.106776,0
0.03533,0.106295,0
0.0360528,0.106019,0
0.0370253,0.10575,0
0.0379991,0.105372,0
0.0387548,0.104802,0
0.0390512,0.104471,0
0.039689,0.103293,0
0.0399417,0.0995904,0
0.039473,0.0958874,0
0.0391647,0.0930962,0
0.0388325,0.0917363,0
0.0383986,0.0907176,0
0.0360917,0.0870882,0
0.0351617,0.085406,0
0.0346083,0.0836011,0
0.0346083,0.0836011,0
0.0346083,0.0836011,0.0001
0.0346083,0.0836011,0.0001
0.034261,0.0824655,0.0001
0.034261,0.0824655,0
0.0337962,0.0816046,0
0.0335127,0.0801508,0
0.0332351,0.0770632,0
0.0328363,0.0757349,0
0.0324175,0.0751801,0
0.0316731,0.0747577,0
0.0293484,0.0742777,0
0.0285356,0.0740354,0
0.0271586,0.0727364,0
0.0268811,0.0719566,0
0.0267096,0.0695087,0
0.0255063,0.0670005,0
0.025002,0.0656374,0
0.0246757,0.064202,0
0.0247171,0.058913,0
0.0253728,0.0557425,0
0.0254097,0.0543227,0
0.0250585,0.0515093,0
0.0253927,0.0504454,0
0.0253927,0.0504454,0
0.0253927,0.0504454,0.0001
0.0253927,0.0504454,0.0001
0.0264342,0.0493837,0.0001
0.0264342,0.0493837,0
0.0279696,0.0498385,0
0.0285633,0.0495486,0
0.0288036,0.0490581,0
0.0285091,0.0485476,0
0.027745,0.0477923,0
0.0270306,0.0462684,0
0.0268465,0.0433872,0
0.0267969,0.0380838,0
0.0272454,0.035314,0
0.0276832,0.0331318,0
0.0280293,0.0306943,0
0.0285148,0.0271658,0
0.0290051,0.0250883,0
0.0295485,0.0235886,0
0.0306607,0.0215085,0
0.0314276,0.0204604,0
0.0332415,0.0184024,0
0.0351703,0.0161598,0
0.0360331,0.0148474,0
0.0360331,0.0148474,0
0.0360331,0.0148474,0.0001
0.0360331,0.0148474,0.0001
0.0391805,0.011676,0.0001
0.0391805,0.011676,0
0.0405092,0.0108426,0
0.0423977,0.00927462,0
0.0434111,0.00848812,0
0.0453881,0.00725856,0
0.0466478,0.00642625,0
0.0504483,0.00428933,0
0.0518444,0.00384689,0
0.0550446,0.00348871,0
0.0620686,0.00362485,0
0.0634965,0.00390293,0
0.0660201,0.00465698,0
0.06737,0.00505652,0
0.0687608,0.00541993,0
0.0702091,0.00597301,0
0.0740968,0.00790627,0
0.0751195,0.00831635,0
0.0783523,0.0094959,0
0.0804006,0.01058,0
0.0822064,0.0123512,0
0.0822064,0.0123512,0
0.0822064,0.0123512,0.0001
0.0822064,0.0123512,0.0001
0.0829115,0.0141067,0.0001
0.0829115,0.0141067,0
0.0842632,0.0155379,0
0.084728,0.0165839,0
0.0853522,0.0176245,0
0.0860848,0.0182215,0
0.0864587,0.0184771,0
0.0874267,0.0194255,0
0.087734,0.0201237,0
0.0881033,0.0214119,0
0.0894106,0.0237369,0
0.0910669,0.0264079,0
0.0914317,0.0274894,0
0.0916622,0.0286185,0
0.0921358,0.0320946,0
0.0924131,0.0331646,0
0.0928479,0.0341576,0
0.093317,0.0350114,0
0.0935907,0.037356,0
0.094158,0.0391701,0
0.0941927,0.0444497,0
0.0941927,0.0444497,0
0.0941927,0.0444497,0.0001
0.0941927,0.0444497,0.0001
0.0937466,0.0465505,0.0001
0.0937466,0.0465505,0
0.0936884,0.0480458,0
0.093117,0.0496889,0
0.0927224,0.0504147,0
0.0922834,0.051122,0
0.0911023,0.0529725,0
0.0907221,0.0536901,0
0.0902507,0.0570055,0
0.0906894,0.0582933,0
0.0906894,0.0582933,0
0.0906894,0.0582933,0.0001
0.0906894,0.0582933,0.0001
0.0906578,0.0592634,0.0001
0.0906578,0.0592634,0
0.0910386,0.0617458,0
0.0905651,0.0659393,0
0.0901398,0.0681352,0
0.0897006,0.0712014,0
0.0894817,0.0730619,0
0.0891665,0.0754963,0
0.0882401,0.0804288,0
0.0878561,0.0818479,0
0.0874124,0.0832392,0
0.086784,0.0850216,0
0.0861244,0.0868137,0
0.0847216,0.0899384,0
0.0843023,0.0906579,0
0.0838474,0.0913491,0
0.0822688,0.0935261,0
0.0789499,0.0987255,0
0.0781259,0.0998725,0
0.0778534,0.100213,0
0.0772637,0.100873,0
0.0772637,0.100873,0
0.0772637,0.100873,0.0001
0.0772637,0.100873,0.0001
0.0765896,0.101286,0.0001
0.0765896,0.101286,0
0.077869,0.100438,0
0.0790861,0.0992067,0
0.0818747,0.094901,0
0.0835819,0.0920736,0
0.0842296,0.0909568,0
0.0857845,0.0878838,0
0.0865187,0.0861209,0
0.0871432,0.0843267,0
0.0874613,0.0832294,0
0.0878021,0.0818173,0
0.0880927,0.0803956,0
0.0886903,0.077306,0
0.0893862,0.0740919,0
0.0895663,0.0730293,0
0.0897368,0.071217,0
0.0900734,0.0681226,0
0.0906197,0.0659548,0
0.0910191,0.0617368,0
0.0910191,0.0617368,0
0.0910191,0.0617368,0.0001
0.0910191,0.0617368,0.0001
0.0924214,0.061721,0.0001
0.0924214,0.061721,0
0.0923333,0.0651089,0
0.093028,0.0654069,0
0.0940273,0.0651944,0
0.0940505,0.0634111,0
0.0936886,0.0622563,0
0.0930898,0.060343,0
0.0930898,0.060343,0
0.0930898,0.060343,0.0001
0.0930898,0.060343,0.0001
0.0896026,0.0610312,0.0001
0.0896026,0.0610312,0
0.0896137,0.0582072,0
0.089279,0.056791,0
0.0888251,0.0554004,0
0.0879881,0.0528924,0
0.0876058,0.051197,0
0.0873669,0.0493379,0
0.0870077,0.0469494,0
0.084977,0.0430651,0
0.0847809,0.0419414,0
0.084706,0.0394691,0
0.0840476,0.0368471,0
0.0834311,0.0355161,0
0.0825964,0.033841,0
0.0821877,0.0321381,0
0.0824797,0.0292656,0
0.0822425,0.0282423,0
0.0814901,0.0275068,0
0.0814901,0.0275068,0
0.0814901,0.0275068,0.0001
0.0814901,0.0275068,0.0001
0.0824635,0.0281959,0.0001
0.0824635,0.0281959,0
0.0824413,0.0285987,0
0.0823507,0.029296,0
0.0821987,0.0321026,0
0.0825974,0.0335015,0
0.0834084,0.0352022,0
0.0840865,0.0368009,0
0.0846709,0.0394926,0
0.0847625,0.0419522,0
0.0850268,0.0430218,0
0.0854207,0.0437407,0
0.0864023,0.0451819,0
0.0869496,0.0466035,0
0.0873819,0.0493264,0
