x,y,z
232.916,433.01,1
232.916,433.01,1

232.916,433.01,0
232.952,432.048,0
232.582,430.781,0
231.173,428.304,0
228.64,423.751,0
232.187,419.331,0
234.55,418.774,0

234.55,418.774,0
234.55,418.774,1

234.55,418.774,1
232.382,419.114,1

232.382,419.114,0
231.634,419.835,0
230.698,420.701,0
229.975,421.4,0
229.216,422.251,0
228.754,422.947,0
228.458,423.806,0
228.492,424.517,0
228.803,425.245,0
229.471,426.191,0
230.15,427.036,0
231.624,429.114,0
232.64,431.663,0
232.703,433.18,0

232.703,433.18,0
232.703,433.18,1

232.703,433.18,1
237.963,439.979,1

237.963,439.979,0
238.308,436.181,0
238.609,434.753,0
239.269,432.209,0
239.638,430.771,0
240.398,428.169,0
241.113,427.124,0
242.547,426.507,0
243.9,426.49,0
245.281,426.729,0
246.935,427.232,0
248.211,427.702,0
250.716,428.507,0
252.039,428.712,0
253.006,428.647,0
254.076,428.3,0
270.928,427.822,0
272.099,427.35,0
272.965,426.796,0
274.999,425.019,0

274.999,425.019,0
274.999,425.019,1

274.999,425.019,1
276.025,424.971,1

276.025,424.971,0
278.701,422.157,0
279.384,421.058,0
279.955,419.661,0
279.899,417.144,0
276.089,413.327,0
274.953,412.562,0
271.972,410.42,0
271.019,409.651,0
266.006,405.346,0
265.038,404.555,0
262.866,403.265,0
260.229,402.655,0
258.815,402.384,0
257.268,401.752,0
256.566,401.066,0
256.155,400.007,0
256.256,399.072,0
256.703,397.921,0
257.101,397.026,0

257.101,397.026,0
257.101,397.026,1

257.101,397.026,1
256.068,396.02,1

256.068,396.02,0
256.856,394.951,0
254.156,392.238,0
253.087,391.635,0
251.786,391.173,0
247.122,390.822,0
245.789,390.471,0
245.004,389.875,0
244.376,388.73,0
243.842,387.755,0
241.842,386.47,0
235.226,385.645,0
233.904,385.306,0
232.913,384.816,0
230.004,382.458,0
229.032,381.588,0
222.976,376.362,0
222.019,375.557,0
219.995,374.221,0
219.003,373.908,0

219.003,373.908,0
219.003,373.908,1

219.003,373.908,1
215.998,371.236,1

215.998,371.236,0
215,370.648,0
211.988,368.323,0
211.021,367.567,0
208.038,365.574,0
207.068,364.954,0
205.877,364.147,0
204.903,363.421,0
200.453,359.059,0
199.765,358.122,0
199.056,356.973,0
198.605,356.044,0
198.228,354.932,0

198.228,354.932,0
198.228,354.932,1

198.228,354.932,1
198.299,354.704,1

198.299,354.704,0
198.599,355.346,0
199.029,356.066,0
199.715,357.038,0
200.391,357.892,0
207.094,364.395,0
208.813,365.721,0
212.06,367.837,0

212.06,367.837,0
212.06,367.837,1

212.06,367.837,1
213,368.005,1

213,368.005,0
216.006,370.867,0
216.988,371.221,0
220.021,373.593,0
220.989,374.407,0
223.011,375.688,0
223.974,376.277,0
231.037,382.556,0
232.011,383.413,0
233.98,384.869,0
234.875,385.33,0
236.133,385.721,0
241.89,386.377,0
243.038,386.446,0
244.182,386.126,0
246.67,386.349,0
248.198,386.749,0
281.848,387.263,0
283.237,387.588,0
284.912,388.154,0

284.912,388.154,0
284.912,388.154,1

284.912,388.154,1
286.005,387.001,1

286.005,387.001,0
295.805,386.754,0
297.287,386.465,0
299.853,385.74,0
301.187,385.231,0
302.838,384.468,0
304.952,383.367,0
305.919,382.863,0
307.09,382.278,0
308.048,381.83,0
309.234,381.318,0
310.781,380.664,0
311.985,380.119,0
312.967,379.633,0
315.036,378.451,0
316,377.81,0
318.03,376.305,0
318.987,375.553,0
321.993,373.364,0
323.002,372.785,0

323.002,372.785,0
323.002,372.785,1

323.002,372.785,1
325,371.147,1

325,371.147,0
325.999,370.752,0
330.012,367.319,0
330.955,366.77,0
332.075,366.251,0
332.964,365.78,0
334.041,365.124,0
334.932,364.555,0
336.934,363.38,0
337.967,362.897,0
339.306,362.376,0
340.924,361.545,0
342.549,359.845,0
343.224,359.097,0
344.12,358.535,0
345.188,358.548,0
346.763,359.192,0
349.002,360.571,0
350.052,361.344,0
352.993,363.97,0

352.993,363.97,0
352.993,363.97,1

352.993,363.97,1
353.877,364.135,1

353.877,364.135,0
355.29,364.656,0
357.717,365.529,0
358.983,365.763,0
359.995,365.727,0
361.208,365.338,0
362.158,364.767,0
363.498,363.095,0
363.237,362.078,0
362.796,361.113,0
362.468,359.643,0
361.787,357.075,0
360.88,356.269,0
359.973,355.822,0
358.956,355.245,0
358.381,354.564,0
357.603,352.343,0
357.205,350.824,0
356.988,347.017,0
360,343.998,0

360,343.998,0
360,343.998,1

360,343.998,1
363.242,345.733,1

363.242,345.733,0
360.592,344.716,0
358.71,345.352,0
358.084,346.082,0
357.542,347.245,0
357.23,350.669,0
357.501,352.143,0
358.193,353.856,0
358.987,354.916,0
359.801,355.535,0
360.994,355.91,0
362.125,355.842,0

362.125,355.842,0
362.125,355.842,1

362.125,355.842,1
364.892,361.889,1

364.892,361.889,0
364.369,363.194,0
363.747,364.031,0
362.79,364.797,0
361.312,365.405,0
360.044,365.614,0
358.967,365.634,0
357.639,365.498,0
355.293,364.862,0
354.054,364.338,0
353.062,363.836,0
351.868,363.144,0
350.909,362.53,0
348.013,360.474,0
347.086,359.789,0
345.954,358.964,0

345.954,358.964,0
345.954,358.964,1

345.954,358.964,1
343.884,358.953,1

343.884,358.953,0
343.415,360.212,0
342.762,360.942,0
341.732,361.601,0
340.206,362.303,0
339,362.892,0
338.024,363.414,0
335.99,364.571,0
335.054,365.107,0
333.934,365.726,0
333.038,366.198,0
331.934,366.821,0
331.002,367.437,0
327.023,370.532,0
326.034,371.289,0
323.967,372.742,0
322.996,373.405,0
319.991,375.572,0
319.021,376.318,0
316.994,377.965,0

316.994,377.965,0
316.994,377.965,1

316.994,377.965,1
316.091,378.227,1

316.091,378.227,0
313.928,379.549,0
312.938,380.095,0
311.745,380.707,0
310.232,381.425,0
309.074,381.94,0
308.136,382.344,0
306.989,382.827,0
306.053,383.22,0
304.903,383.71,0
303.957,384.122,0
302.776,384.631,0
301.191,385.27,0
299.894,385.73,0
297.309,386.429,0
295.752,386.709,0
286.203,387.526,0
284.755,387.638,0
283.088,387.61,0
281.985,387.291,0

281.985,387.291,0
281.985,387.291,1

281.985,387.291,1
266.967,405.068,1

266.967,405.068,0
266.079,404.838,0
263.864,403.293,0
262.183,402.474,0
260.99,402.582,0
259.817,402.701,0
256.541,399.151,0
256.48,397.852,0
256.75,397.018,0
256.56,396.032,0
256.847,394.981,0
256.759,394.026,0
255.243,392.141,0
254.16,391.574,0
252.716,391.313,0
247.031,390.944,0
243.175,386.983,0
243.778,386.045,0
247.08,385.977,0
247.981,387.007,0

247.981,387.007,0
247.981,387.007,1

247.981,387.007,1
245.866,393.149,1

245.866,393.149,0
246.252,393.849,0
246.783,394.92,0
247.276,395.914,0
248.539,398.162,0
249.256,399.19,0
252.079,401.645,0
253.949,402.171,0

253.949,402.171,0
253.949,402.171,1

253.949,402.171,1
259.048,406.964,1

259.048,406.964,0
259.116,408.066,0
259.556,409.164,0
260.153,409.896,0
261.108,410.644,0
262.018,411.176,0
263.222,411.782,0
264.801,412.587,0
266.681,413.926,0
267.365,414.745,0
267.94,415.977,0
267.992,419.075,0

267.992,419.075,0
267.992,419.075,1

267.992,419.075,1
267.1,413.946,1

267.1,413.946,0
266.817,413.004,0
265.958,412.247,0
264.324,411.643,0
262.905,411.244,0
261.802,410.825,0
260.155,409.204,0
259.941,407.887,0

259.941,407.887,0
259.941,407.887,1

259.941,407.887,1
272.007,409.93,1

272.007,409.93,0
272.992,410.153,0
275.956,412.579,0
277.07,413.379,0
279.965,416.012,0
279.913,420.745,0
279.316,422.184,0
278.73,423.105,0
277.026,424.702,0
276.063,425.365,0
273.877,426.646,0
272.199,427.389,0
270.876,427.79,0
254.135,428.461,0
252.878,428.533,0
251.998,428.611,0
250.891,428.555,0
248.291,427.71,0
246.771,427.193,0
245.046,426.96,0

245.046,426.96,0
245.046,426.96,1

245.046,426.96,1
244.036,425.986,1

244.036,425.986,0
242.819,426.7,0
241.964,427.399,0
240.509,429.184,0
239.696,430.743,0
239.197,432.061,0
238.511,434.66,0
238.226,436.161,0
237.683,439.851,0
237.479,441.416,0
236.64,446.738,0
236.313,448.148,0
235.794,449.86,0
235.302,451.085,0
234.832,452.01,0

234.832,452.01,0
234.832,452.01,1

234.832,452.01,1
217.295,452.009,1

217.295,452.009,0
216.766,451.066,0
216.054,449.905,0
215.439,448.953,0
213.545,446.036,0
212.983,445.102,0
212.335,443.969,0
211.824,443.05,0
211.207,441.93,0
210.697,441.017,0
210.058,439.899,0
209.518,438.983,0
208.298,437.022,0
207.683,436.084,0
206.393,434.044,0
205.845,433.049,0
205.278,431.79,0
204.783,430.089,0

204.783,430.089,0
204.783,430.089,1

204.783,430.089,1
204.844,431.07,1

204.844,431.07,0
205.795,432.071,0
206.507,432.936,0
207.857,434.884,0
208.432,435.845,0
209.557,437.938,0
210.056,438.941,0
210.654,440.17,0
211.139,441.17,0
211.738,442.379,0
212.538,443.902,0
213.7,445.842,0
214.3,446.702,0
215.091,447.696,0
215.792,448.453,0

215.792,448.453,0
215.792,448.453,1

215.792,448.453,1
196.277,416.19,1

196.277,416.19,0
196.506,414.781,0
195.925,413.862,0
195.165,413.572,0
194.191,413.828,0
192.473,415.188,0
191.625,415.879,0
190.545,416.499,0
189.14,416.78,0
188.103,416.504,0
187.329,415.926,0
186.663,415.101,0
186.058,413.889,0

186.058,413.889,0
186.058,413.889,1

186.058,413.889,1
186.077,413.003,1

186.077,413.003,0
186.743,413.955,0
187.199,415.066,0
189.034,416.974,0
190.02,417.04,0
191.669,414.945,0
192.295,413.79,0
193.061,413.13,0
193.849,413.464,0
195.02,413.976,0
196.055,413.66,0
197.048,412.599,0
196.801,409.563,0
194.216,406.421,0
193.314,405.511,0
192.514,404.687,0
190.958,403.259,0
190.156,402.751,0
188.991,402.286,0
185.983,401.922,0

185.983,401.922,0
185.983,401.922,1

185.983,401.922,1
191.699,403.14,1

191.699,403.14,0
192.39,403.917,0
194.114,405.555,0
194.961,406.346,0
197.171,409.01,0
197.689,410.216,0
197.077,414.516,0
195.897,416.3,0

195.897,416.3,0
195.897,416.3,1

195.897,416.3,1
157.026,431.052,1

157.026,431.052,0
156.877,430.017,0
156.34,428.848,0
155.679,427.962,0
153.012,425.489,0
152.135,424.731,0
151.19,423.804,0
150.589,423.035,0
150.152,422.061,0

150.152,422.061,0
150.152,422.061,1

150.152,422.061,1
156.906,430.88,1

156.906,430.88,0
156.333,430.017,0
155.723,429.209,0
149.096,422.231,0
148.002,421.247,0
142.828,418.085,0
141.115,418.32,0
154.998,433.011,0

154.998,433.011,0
154.998,433.011,1

154.998,433.011,1
115.02,451.012,1

115.02,451.012,0
110.96,446.977,0
111.423,425.314,0
111.612,423.639,0
111.517,416.25,0
111.428,414.722,0
111.427,410.276,0
111.586,408.772,0
112.248,405.208,0
112.594,403.726,0
113.427,400.255,0
113.729,398.828,0
114.03,397.022,0

114.03,397.022,0
114.03,397.022,1

114.03,397.022,1
115.078,395.996,1

115.078,395.996,0
115.195,395.031,0
115.497,393.823,0
116.123,392.231,0
116.775,390.983,0
117.404,389.958,0
126.857,380.28,0
127.949,379.456,0
132.278,376.566,0
133.843,375.676,0

133.843,375.676,0
133.843,375.676,1

133.843,375.676,1
130.999,376.019,1

130.999,376.019,0
127.051,379.795,0
125.936,380.207,0
117.158,388.895,0
116.722,389.963,0
116.292,391.233,0
115.722,392.861,0
115.26,394.128,0
114.665,395.788,0
114.227,397.103,0
113.718,398.854,0
113.382,400.259,0
112.672,403.732,0
112.35,405.221,0
111.521,408.773,0
111.276,410.253,0
111.358,414.662,0
111.656,416.286,0
112.069,423.923,0
110.964,425.045,0

110.964,425.045,0
110.964,425.045,1

110.964,425.045,1
132.18,372.951,1

132.18,372.951,0
132.525,372.006,0
132.109,371.286,0
131.396,370.735,0
130.297,369.95,0
129.386,369.122,0
127.931,366.858,0
128.637,360.311,0
129.606,357.736,0
130.125,356.109,0
130.333,354.956,0
130.337,353.814,0
129.99,352.236,0
129.445,350.876,0
128.614,349.118,0
128.09,347.935,0

128.09,347.935,0
128.09,347.935,1

128.09,347.935,1
127.994,346.999,1

127.994,346.999,0
124.14,343,0
123.797,342.012,0
120.404,337.884,0
119.607,337.051,0
117.981,335.417,0
117.058,334.587,0
113.298,330.926,0
112.698,330.093,0
111.891,329.305,0
111.105,328.698,0
106.326,324.034,0
105.574,323.015,0
104.348,320.968,0
103.699,320.008,0
101.358,316.997,0
100.608,316.011,0
98.397,312.983,0
97.672,312.014,0
96.0442,309.998,0

96.0442,309.998,0
96.0442,309.998,1

96.0442,309.998,1
95.7513,309.097,1

95.7513,309.097,0
94.4572,306.926,0
93.9172,305.934,0
93.3062,304.742,0
92.5841,303.232,0
92.0638,302.076,0
91.6565,301.138,0
91.1708,299.991,0
90.7782,299.053,0
90.2939,297.896,0
89.8891,296.942,0
89.3776,295.758,0
88.712,294.189,0
88.2126,292.933,0
87.6177,291.245,0
87.2159,289.876,0
86.6574,287.216,0
86.4523,285.67,0
85.6389,277.27,0
85.2473,275.816,0

85.2473,275.816,0
85.2473,275.816,1

85.2473,275.816,1
84.8534,272.09,1

84.8534,272.09,0
84.3654,270.78,0
83.6832,269.171,0
83.175,267.924,0
82.6307,266.222,0
82.3565,264.768,0
81.7268,257.199,0
81.2191,255.839,0
80.7814,234.159,0
80.2682,232.806,0
79.6504,225.25,0
79.3772,223.731,0
78.6434,218.254,0
78.3116,216.778,0
77.6858,207.228,0
77.3231,205.762,0
76.8018,197.162,0
76.1482,195.877,0
75.9887,155.01,0
77.01,153.991,0

77.01,153.991,0
77.01,153.991,1

77.01,153.991,1
77.0201,149.014,1

77.0201,149.014,0
77.9686,147.978,0
78.1577,138.112,0
78.7889,136.851,0
79.2835,132.196,0
79.6598,130.766,0
80.4022,127.275,0
80.6385,125.752,0
81.3479,121.244,0
81.6196,119.735,0
82.3392,116.224,0
82.6672,114.784,0
83.3022,112.197,0
83.6699,110.791,0
84.3555,108.223,0
84.7029,106.799,0
85.2734,104.181,0
85.6328,102.793,0
86.2522,101.121,0
86.918,99.9634,0

86.918,99.9634,0
86.918,99.9634,1

86.918,99.9634,1
87.1892,98.0918,1

87.1892,98.0918,0
87.5634,96.6736,0
88.3563,94.2823,0
88.8386,93.0589,0
89.2515,92.0944,0
89.775,90.9448,0
90.2125,90.024,0
90.755,88.9078,0
91.1989,87.9978,0
91.7381,86.8747,0
92.1703,85.9427,0
92.6852,84.7745,0
93.3246,83.2216,0
93.7999,81.9851,0
94.3872,80.3464,0
94.8212,79.0451,0
95.1619,77.9626,0
95.5621,76.6127,0
96.4374,73.2967,0
96.7718,71.8624,0

96.7718,71.8624,0
96.7718,71.8624,1

96.7718,71.8624,1
97.1437,70.0094,1

97.1437,70.0094,0
97.6642,68.9623,0
98.1414,68.0698,0
98.8077,66.9407,0
99.4268,65.9965,0
101.586,63.0171,0
102.304,62.0434,0
104.575,58.987,0
105.362,57.9577,0
121.968,41.3495,0
122.928,40.7766,0
124.088,40.111,0
125.033,39.538,0
127.997,37.4312,0
128.969,36.7183,0
131.013,35.3269,0
131.954,34.7697,0
133.076,34.1603,0
133.962,33.6969,0
135.003,33.1378,0

135.003,33.1378,0
135.003,33.1378,1

135.003,33.1378,1
136.009,32.7436,1

136.009,32.7436,0
137.059,32.287,0
137.932,31.8785,0
139.017,31.3384,0
139.917,30.8681,0
141.031,30.26,0
141.951,29.7404,0
143.088,29.0797,0
144.023,28.5235,0
146.022,27.3058,0
146.969,26.7194,0
148.98,25.4641,0
149.928,24.8725,0
151.085,24.1529,0
152.026,23.5726,0
154.005,22.3752,0
154.927,21.8321,0
156.045,21.1906,0
156.948,20.6891,0
158.038,20.1064,0

158.038,20.1064,0
158.038,20.1064,1

158.038,20.1064,1
159.103,19.9406,1

159.103,19.9406,0
160.216,19.3629,0
161.686,18.6457,0
162.851,18.1118,0
163.818,17.6895,0
165.023,17.1884,0
166.024,16.792,0
167.269,16.3219,0
168.91,15.739,0
170.205,15.3054,0
171.91,14.7678,0
173.254,14.3675,0
175.752,13.6645,0
177.138,13.2895,0
179.686,12.6123,0
181.085,12.2403,0
182.887,11.7531,0
184.275,11.367,0
186.779,10.6323,0
188.128,10.2084,0

188.128,10.2084,0
188.128,10.2084,1

188.128,10.2084,1
191.952,9.92989,1

191.952,9.92989,0
193.145,9.21807,0
194.831,8.69235,0
196.061,8.26053,0
196.946,7.75563,0
198.122,7.2176,0
202.817,6.79208,0
204.13,6.13444,0
227.893,6.1061,0
229.152,6.82737,0
234.741,7.37652,0
236.292,7.5678,0
239.754,8.35979,0
241.231,8.66548,0
246.706,9.41941,0
248.265,9.62579,0
251.827,10.2589,0
253.259,10.5983,0
255.775,11.3506,0
257.1,11.8434,0

257.1,11.8434,0
257.1,11.8434,1

257.1,11.8434,1
258.899,12.1944,1

258.899,12.1944,0
260.347,12.5356,0
263.672,13.4211,0
265.021,13.8218,0
266.724,14.3625,0
268.017,14.7983,0
269.055,15.1645,0
270.307,15.6251,0
271.896,16.2381,0
273.106,16.7261,0
274.083,17.1326,0
275.265,17.6394,0
276.772,18.3071,0
277.927,18.8337,0
278.863,19.2692,0
280.002,19.8086,0
280.926,20.2533,0
282.054,20.8027,0
282.972,21.2546,0
284.093,21.8114,0

284.093,21.8114,0
284.093,21.8114,1

284.093,21.8114,1
284.99,22.0615,1

284.99,22.0615,0
286.037,22.7286,0
286.963,23.3303,0
289.02,24.6729,0
289.984,25.2977,0
292.017,26.6584,0
292.985,27.3546,0
296.01,29.599,0
296.994,30.3339,0
303.972,36.7629,0
305.034,37.2073,0
317.768,49.9639,0
318.312,51.0273,0
321.581,55.0128,0
322.409,55.9871,0
325.597,60.0075,0
326.432,60.9916,0
328.705,64.0103,0
329.211,64.9912,0
330.979,67.0012,0

330.979,67.0012,0
330.979,67.0012,1

330.979,67.0012,1
331.146,68.006,1

331.146,68.006,0
333.609,71.0288,0
334.299,71.9865,0
335.616,73.9862,0
336.176,74.9155,0
336.817,76.0438,0
337.309,76.9578,0
337.88,78.0697,0
338.326,78.9723,0
338.852,80.0727,0
339.272,80.968,0
339.78,82.0618,0
340.195,82.9536,0
340.71,84.0457,0
341.141,84.9382,0
341.688,86.0335,0
342.156,86.9306,0
342.762,88.0339,0
343.288,88.9396,0
343.978,90.0559,0

343.978,90.0559,0
343.978,90.0559,1

343.978,90.0559,1
344.201,90.8451,1

344.201,90.8451,0
344.73,92.0553,0
345.153,93.0447,0
345.664,94.2568,0
346.312,95.8198,0
346.809,97.0272,0
347.212,98.0097,0
347.706,99.2076,0
348.345,100.743,0
348.844,101.922,0
349.257,102.877,0
349.769,104.035,0
350.194,104.971,0
350.725,106.104,0
351.169,107.016,0
351.727,108.118,0
352.196,109.004,0
352.787,110.07,0
353.285,110.924,0
353.916,111.95,0

353.916,111.95,0
353.916,111.95,1

353.916,111.95,1
354.153,112.925,1

354.153,112.925,0
354.733,114.046,0
355.194,114.97,0
355.744,116.112,0
356.182,117.051,0
356.709,118.209,0
357.376,119.713,0
357.884,120.885,0
358.295,121.843,0
358.796,123.02,0
359.204,123.98,0
359.705,125.157,0
360.116,126.115,0
360.624,127.287,0
361.291,128.791,0
361.818,129.949,0
362.256,130.888,0
362.806,132.03,0
363.267,132.954,0
363.847,134.075,0

363.847,134.075,0
363.847,134.075,1

363.847,134.075,1
364.146,135.93,1

364.146,135.93,0
364.764,137.023,0
365.223,137.965,0
365.734,139.176,0
366.323,140.817,0
366.736,142.139,0
367.227,143.897,0
367.584,145.288,0
368.404,148.653,0
368.756,150.07,0
369.235,151.883,0
369.634,153.265,0
370.446,155.718,0
370.943,157.014,0
371.38,158.041,0
372.413,160.117,0
372.955,161.04,0
373.67,162.116,0
374.299,162.947,0
375.129,163.902,0

