x,y,z
33.6227,107.936,1
33.6227,107.936,1
33.6227,107.936,0
33.9623,109.398,0
34.3006,110.377,0
34.6165,111.118,0
34.9763,111.843,0
35.6046,112.923,0
36.3191,113.967,0
37.4137,115.331,0
40.234,118.128,0
41.9959,119.571,0
43.6461,120.79,0
44.8638,121.628,0
44.8638,121.628,0
44.8638,121.628,1
44.8638,121.628,1
44.8901,121.594,1
44.8901,121.594,0
44.0147,120.878,0
43.6677,120.6,0
42.3624,119.557,0
40.6363,118.139,0
37.0264,114.638,0
34.9015,111.541,0
34.5501,110.788,0
34.2563,110.014,0
34.2563,110.014,0
34.2563,110.014,1
34.2563,110.014,1
34.9267,108.317,1
34.9267,108.317,0
35.2761,109.671,0
35.6091,110.424,0
36.015,111.157,0
38.3259,114.291,0
38.5998,114.644,0
39.1278,115.368,0
39.1278,115.368,0
39.1278,115.368,1
39.1278,115.368,1
39.0667,115.296,1
39.0667,115.296,0
38.6313,114.693,0
38.3731,114.371,0
37.1366,112.868,0
35.8947,111.117,0
35.5011,110.371,0
35.2279,109.631,0
35.1395,108.398,0
35.3683,107.735,0
35.8441,107.123,0
35.8441,107.123,0
35.8441,107.123,1
35.8441,107.123,1
37.0434,105.822,1
37.0434,105.822,0
35.9518,105.816,0
35.0142,106.326,0
34.1849,106.831,0
33.437,107.063,0
32.1265,107.342,0
31.1427,107.779,0
29.8906,108.469,0
28.8982,108.875,0
27.9455,109.248,0
26.4722,110.069,0
25.7245,110.377,0
24.6594,110.678,0
22.6241,111.206,0
21.1509,111.826,0
15.1414,114.89,0
14.1272,115.125,0
13.1142,115.442,0
12.2756,115.923,0
11.3093,116.46,0
11.3093,116.46,0
11.3093,116.46,1
11.3093,116.46,1
30.3349,108.647,1
30.3349,108.647,0
31.3834,107.562,0
32.1582,107.375,0
33.8184,107.118,0
34.5112,106.776,0
35.33,106.295,0
36.0528,106.019,0
37.0253,105.75,0
37.9991,105.372,0
38.7548,104.802,0
39.0512,104.471,0
39.689,103.293,0
39.9417,99.5904,0
39.473,95.8874,0
39.1647,93.0962,0
38.8325,91.7363,0
38.3986,90.7176,0
36.0917,87.0882,0
35.1617,85.406,0
34.6083,83.6011,0
34.6083,83.6011,0
34.6083,83.6011,1
34.6083,83.6011,1
34.261,82.4655,1
34.261,82.4655,0
33.7962,81.6046,0
33.5127,80.1508,0
33.2351,77.0632,0
32.8363,75.7349,0
32.4175,75.1801,0
31.6731,74.7577,0
29.3484,74.2777,0
28.5356,74.0354,0
27.1586,72.7364,0
26.8811,71.9566,0
26.7096,69.5087,0
25.5063,67.0005,0
25.002,65.6374,0
24.6757,64.202,0
24.7171,58.913,0
25.3728,55.7425,0
25.4097,54.3227,0
25.0585,51.5093,0
25.3927,50.4454,0
25.3927,50.4454,0
25.3927,50.4454,1
25.3927,50.4454,1
26.4342,49.3837,1
26.4342,49.3837,0
27.9696,49.8385,0
28.5633,49.5486,0
28.8036,49.0581,0
28.5091,48.5476,0
27.745,47.7923,0
27.0306,46.2684,0
26.8465,43.3872,0
26.7969,38.0838,0
27.2454,35.314,0
27.6832,33.1318,0
28.0293,30.6943,0
28.5148,27.1658,0
29.0051,25.0883,0
29.5485,23.5886,0
30.6607,21.5085,0
31.4276,20.4604,0
33.2415,18.4024,0
35.1703,16.1598,0
36.0331,14.8474,0
36.0331,14.8474,0
36.0331,14.8474,1
36.0331,14.8474,1
39.1805,11.676,1
39.1805,11.676,0
40.5092,10.8426,0
42.3977,9.27462,0
43.4111,8.48812,0
45.3881,7.25856,0
46.6478,6.42625,0
50.4483,4.28933,0
51.8444,3.84689,0
55.0446,3.48871,0
62.0686,3.62485,0
63.4965,3.90293,0
66.0201,4.65698,0
67.37,5.05652,0
68.7608,5.41993,0
70.2091,5.97301,0
74.0968,7.90627,0
75.1195,8.31635,0
78.3523,9.4959,0
80.4006,10.58,0
82.2064,12.3512,0
82.2064,12.3512,0
82.2064,12.3512,1
82.2064,12.3512,1
82.9115,14.1067,1
82.9115,14.1067,0
84.2632,15.5379,0
84.728,16.5839,0
85.3522,17.6245,0
86.0848,18.2215,0
86.4587,18.4771,0
87.4267,19.4255,0
87.734,20.1237,0
88.1033,21.4119,0
89.4106,23.7369,0
91.0669,26.4079,0
91.4317,27.4894,0
91.6622,28.6185,0
92.1358,32.0946,0
92.4131,33.1646,0
